date,ticker,Index,Type,N
2016-04-29 00:00:00+00:00,AMZN,9279,Good,1712.0
2016-07-29 00:00:00+00:00,AMZN,9342,Good,1932.0
2016-09-22 00:00:00+00:00,AMZN,9380,Good,461.0
2016-10-28 00:00:00+00:00,AMZN,9405,Bad,2550.0
2017-02-03 00:00:00+00:00,AMZN,9470,Bad,2821.0
2017-04-28 00:00:00+00:00,AMZN,9529,Neutral,2382.0
2017-06-12 00:00:00+00:00,AMZN,9559,Bad,2250.0
2017-07-28 00:00:00+00:00,AMZN,9592,Bad,5048.0
2017-10-27 00:00:00+00:00,AMZN,9655,Good,3381.0
2018-04-27 00:00:00+00:00,AMZN,9779,Good,5427.0
2018-07-27 00:00:00+00:00,AMZN,9842,Neutral,6572.0
2018-10-26 00:00:00+00:00,AMZN,9905,Bad,6979.0
2019-02-01 00:00:00+00:00,AMZN,9970,Bad,7169.0
2019-04-26 00:00:00+00:00,AMZN,10029,Good,3716.0
2019-07-26 00:00:00+00:00,AMZN,10092,Bad,2141.0
2019-10-25 00:00:00+00:00,AMZN,10155,Bad,5041.0
2019-12-27 00:00:00+00:00,AMZN,10197,Good,2261.0
2020-01-31 00:00:00+00:00,AMZN,10220,Good,5775.0
2015-07-07 00:00:00+00:00,BABA,11638,Bad,469.0
2015-08-12 00:00:00+00:00,BABA,11664,Bad,1564.0
2015-09-09 00:00:00+00:00,BABA,11683,Bad,768.0
2015-09-14 00:00:00+00:00,BABA,11686,Bad,578.0
2015-09-21 00:00:00+00:00,BABA,11691,Bad,370.0
2015-10-27 00:00:00+00:00,BABA,11716,Neutral,1559.0
2015-11-09 00:00:00+00:00,BABA,11725,Bad,1259.0
2015-11-12 00:00:00+00:00,BABA,11727,Good,1965.0
2015-11-23 00:00:00+00:00,BABA,11734,Neutral,470.0
2015-12-23 00:00:00+00:00,BABA,11755,Good,373.0
2016-01-28 00:00:00+00:00,BABA,11778,Good,551.0
2016-03-21 00:00:00+00:00,BABA,11814,Good,161.0
2016-05-05 00:00:00+00:00,BABA,11847,Good,642.0
2016-05-25 00:00:00+00:00,BABA,11861,Bad,439.0
2016-08-11 00:00:00+00:00,BABA,11915,Good,1078.0
2016-10-11 00:00:00+00:00,BABA,11956,Good,381.0
2017-01-10 00:00:00+00:00,BABA,12017,Good,578.0
2017-01-24 00:00:00+00:00,BABA,12026,Good,1163.0
2017-04-10 00:00:00+00:00,BABA,12079,Good,284.0
2017-05-18 00:00:00+00:00,BABA,12107,Good,1494.0
2017-06-08 00:00:00+00:00,BABA,12121,Good,1111.0
2017-08-17 00:00:00+00:00,BABA,12170,Good,2179.0
2017-11-13 00:00:00+00:00,BABA,12229,Good,2519.0
2018-02-01 00:00:00+00:00,BABA,12283,Neutral,2461.0
2018-03-15 00:00:00+00:00,BABA,12312,Good,1050.0
2018-05-04 00:00:00+00:00,BABA,12348,Neutral,3626.0
2018-08-23 00:00:00+00:00,BABA,12425,Bad,4258.0
2018-11-02 00:00:00+00:00,BABA,12474,Neutral,1815.0
2018-11-13 00:00:00+00:00,BABA,12480,Neutral,1979.0
2018-12-03 00:00:00+00:00,BABA,12493,Neutral,1150.0
2019-01-30 00:00:00+00:00,BABA,12532,Good,716.0
2019-02-25 00:00:00+00:00,BABA,12549,Good,618.0
2019-05-06 00:00:00+00:00,BABA,12599,Bad,840.0
2019-05-15 00:00:00+00:00,BABA,12606,Neutral,1508.0
2019-07-01 00:00:00+00:00,BABA,12638,Good,602.0
2019-08-02 00:00:00+00:00,BABA,12661,Bad,466.0
2019-08-15 00:00:00+00:00,BABA,12670,Good,958.0
2019-09-30 00:00:00+00:00,BABA,12701,Bad,1261.0
2019-11-01 00:00:00+00:00,BABA,12724,Neutral,1277.0
2020-02-13 00:00:00+00:00,BABA,12793,Good,2054.0
2012-03-08 00:00:00+00:00,BAC,13366,Good,42.0
2012-03-14 00:00:00+00:00,BAC,13370,Good,164.0
2012-04-19 00:00:00+00:00,BAC,13396,Good,156.0
2012-05-11 00:00:00+00:00,BAC,13412,Neutral,117.0
2012-05-22 00:00:00+00:00,BAC,13419,Neutral,118.0
2012-07-18 00:00:00+00:00,BAC,13458,Good,123.0
2012-08-17 00:00:00+00:00,BAC,13480,Good,53.0
2012-09-12 00:00:00+00:00,BAC,13497,Good,163.0
2012-09-14 00:00:00+00:00,BAC,13499,Good,321.0
2012-10-16 00:00:00+00:00,BAC,13520,Good,127.0
2012-10-25 00:00:00+00:00,BAC,13527,Good,137.0
2012-11-02 00:00:00+00:00,BAC,13533,Good,161.0
2012-12-05 00:00:00+00:00,BAC,13554,Good,175.0
2012-12-27 00:00:00+00:00,BAC,13569,Good,227.0
2013-01-17 00:00:00+00:00,BAC,13583,Good,280.0
2013-02-04 00:00:00+00:00,BAC,13594,Good,170.0
2013-02-13 00:00:00+00:00,BAC,13601,Good,270.0
2013-03-15 00:00:00+00:00,BAC,13622,Good,425.0
2013-04-17 00:00:00+00:00,BAC,13645,Good,328.0
2013-05-07 00:00:00+00:00,BAC,13659,Good,327.0
2013-06-20 00:00:00+00:00,BAC,13690,Bad,125.0
2013-08-07 00:00:00+00:00,BAC,13723,Bad,190.0
2013-12-19 00:00:00+00:00,BAC,13815,Good,198.0
2014-01-02 00:00:00+00:00,BAC,13823,Good,128.0
2014-01-03 00:00:00+00:00,BAC,13824,Good,341.0
2014-03-05 00:00:00+00:00,BAC,13865,Good,230.0
2014-03-20 00:00:00+00:00,BAC,13876,Good,164.0
2014-03-27 00:00:00+00:00,BAC,13881,Good,388.0
2014-04-16 00:00:00+00:00,BAC,13895,Bad,338.0
2014-04-25 00:00:00+00:00,BAC,13902,Bad,131.0
2014-07-16 00:00:00+00:00,BAC,13958,Neutral,226.0
2014-08-06 00:00:00+00:00,BAC,13973,Neutral,98.0
2014-08-21 00:00:00+00:00,BAC,13984,Good,200.0
2014-09-11 00:00:00+00:00,BAC,13998,Good,71.0
2015-02-27 00:00:00+00:00,BAC,14112,Bad,190.0
2015-03-06 00:00:00+00:00,BAC,14117,Good,274.0
2015-03-12 00:00:00+00:00,BAC,14121,Good,426.0
2015-03-19 00:00:00+00:00,BAC,14126,Bad,180.0
2015-04-29 00:00:00+00:00,BAC,14155,Good,75.0
2015-07-15 00:00:00+00:00,BAC,14208,Good,225.0
2015-07-23 00:00:00+00:00,BAC,14214,Good,188.0
2015-09-18 00:00:00+00:00,BAC,14254,Bad,109.0
2015-10-02 00:00:00+00:00,BAC,14264,Bad,152.0
2015-10-13 00:00:00+00:00,BAC,14270,Good,148.0
2015-10-22 00:00:00+00:00,BAC,14277,Bad,36.0
2015-10-29 00:00:00+00:00,BAC,14282,Good,181.0
2016-03-17 00:00:00+00:00,BAC,14376,Bad,139.0
2016-04-14 00:00:00+00:00,BAC,14396,Neutral,328.0
2016-06-03 00:00:00+00:00,BAC,14431,Neutral,119.0
2016-06-24 00:00:00+00:00,BAC,14446,Neutral,430.0
2016-07-18 00:00:00+00:00,BAC,14461,Good,342.0
2016-10-17 00:00:00+00:00,BAC,14524,Good,384.0
2016-11-09 00:00:00+00:00,BAC,14541,Bad,177.0
2017-01-13 00:00:00+00:00,BAC,14584,Neutral,872.0
2017-04-18 00:00:00+00:00,BAC,14649,Good,662.0
2017-05-17 00:00:00+00:00,BAC,14670,Bad,224.0
2017-06-29 00:00:00+00:00,BAC,14700,Good,698.0
2017-10-13 00:00:00+00:00,BAC,14773,Bad,405.0
2017-11-08 00:00:00+00:00,BAC,14791,Bad,152.0
2017-11-29 00:00:00+00:00,BAC,14804,Good,382.0
2018-03-22 00:00:00+00:00,BAC,14881,Good,193.0
2018-05-23 00:00:00+00:00,BAC,14925,Bad,297.0
2018-09-27 00:00:00+00:00,BAC,15013,Bad,276.0
2018-10-15 00:00:00+00:00,BAC,15024,Neutral,541.0
2018-10-23 00:00:00+00:00,BAC,15030,Bad,320.0
2018-12-05 00:00:00+00:00,BAC,15059,Bad,243.0
2019-01-14 00:00:00+00:00,BAC,15085,Neutral,224.0
2019-01-16 00:00:00+00:00,BAC,15087,Good,589.0
2019-04-16 00:00:00+00:00,BAC,15149,Bad,858.0
2019-06-28 00:00:00+00:00,BAC,15201,Good,210.0
2019-07-17 00:00:00+00:00,BAC,15213,Neutral,347.0
2019-10-16 00:00:00+00:00,BAC,15276,Good,455.0
2020-01-15 00:00:00+00:00,BAC,15337,Neutral,358.0
2020-02-18 00:00:00+00:00,BAC,15359,Good,173.0
2011-08-12 00:00:00+00:00,BB,15789,Good,51.0
2011-09-16 00:00:00+00:00,BB,15813,Good,520.0
2011-11-10 00:00:00+00:00,BB,15851,Bad,32.0
2011-11-16 00:00:00+00:00,BB,15854,Good,64.0
2011-11-30 00:00:00+00:00,BB,15863,Good,70.0
2011-12-16 00:00:00+00:00,BB,15875,Good,639.0
2012-01-13 00:00:00+00:00,BB,15893,Good,89.0
2012-01-18 00:00:00+00:00,BB,15895,Good,266.0
2012-01-23 00:00:00+00:00,BB,15898,Good,303.0
2012-02-03 00:00:00+00:00,BB,15907,Good,84.0
2012-03-26 00:00:00+00:00,BB,15942,Good,56.0
2012-03-30 00:00:00+00:00,BB,15946,Good,808.0
2012-05-30 00:00:00+00:00,BB,15988,Neutral,287.0
2012-06-25 00:00:00+00:00,BB,16006,Bad,110.0
2012-06-29 00:00:00+00:00,BB,16010,Bad,566.0
2012-07-16 00:00:00+00:00,BB,16020,Bad,45.0
2012-08-08 00:00:00+00:00,BB,16037,Good,75.0
2012-08-27 00:00:00+00:00,BB,16050,Good,68.0
2012-09-26 00:00:00+00:00,BB,16071,Good,115.0
2012-09-28 00:00:00+00:00,BB,16073,Neutral,749.0
2012-10-17 00:00:00+00:00,BB,16085,Bad,31.0
2012-11-01 00:00:00+00:00,BB,16096,Good,61.0
2012-11-13 00:00:00+00:00,BB,16103,Good,194.0
2012-11-23 00:00:00+00:00,BB,16110,Good,394.0
2012-12-21 00:00:00+00:00,BB,16130,Good,1343.0
2013-01-14 00:00:00+00:00,BB,16144,Good,1199.0
2013-09-05 00:00:00+00:00,BB,16307,Good,2087.0
2013-09-23 00:00:00+00:00,BB,16319,Bad,5724.0
2013-12-20 00:00:00+00:00,BB,16380,Bad,1621.0
2014-01-21 00:00:00+00:00,BB,16399,Neutral,2331.0
2014-03-28 00:00:00+00:00,BB,16446,Neutral,1913.0
2014-06-13 00:00:00+00:00,BB,16500,Good,513.0
2014-07-16 00:00:00+00:00,BB,16522,Neutral,1494.0
2014-11-14 00:00:00+00:00,BB,16606,Good,2504.0
2015-01-15 00:00:00+00:00,BB,16647,Bad,4207.0
